,landmark,address,tags,score,읍면동,SUM_GRGS_DSAMT
433,감귤상웨빵 체험,제주특별자치도 서귀포시 남원읍 하례중앙로 95,"#친구 #커플 #체험관광
#감귤 #감귤상웨빵 #제주전통 빵 #실내관광지 #체험 #어트랙션",3,남원읍,0.04755460223082161
434,걸서악오름,제주특별자치도 서귀포시 남원읍 하례로 393,"#친구 #맑음 #경관/포토
#오름 #자연경관 #도보여행 #도보 #포토스팟",-6,남원읍,0.04755460223082161
435,고살리숲길,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,"#친구 #혼자 #맑음
#걷기/등산 #트레킹 #계곡 #자연경관 #체험 #도보여행 #도보 #숲 #숲길 #언택트 #물놀이",-1,남원읍,0.04755460223082161
436,그랑블루호(선상낚시),제주특별자치도 서귀포시 남원읍 위미중앙로180번길 10,"#낚시 #액티비티 #커플
#체험 #레저/체험 #수상레저 #어트랙션",6,남원읍,0.04755460223082161
437,남내소,제주특별자치도 서귀포시 남원읍 하례로,"#커플 #친구 #아이
#휴식/힐링 #경관/포토 #자연경관 #체험 #포토스팟 #어린이 #어트랙션",-2,남원읍,0.04755460223082161
438,남원 위미2리 어촌계,제주특별자치도 서귀포시 남원읍 태위로 208,"#경관/포토 #체험관광 #해변
#바릇잡이 #올레5코스 #체험 #포토스팟 #어트랙션",4,남원읍,0.04755460223082161
439,남원항(남원포구),제주특별자치도 서귀포시 남원읍 남태해안로 140,"#맑음 #경관/포토 #문화유적지
#사계절 #자연경관 #역사유적 #포토스팟 #언택트",-2,남원읍,0.04755460223082161
440,내창트레킹,제주특별자치도 서귀포시 남원읍 하례중앙로 95,"#친구 #혼자 #맑음
#걷기/등산 #체험관광 #내창트레킹 #효돈천 #자연경관 #체험 #어트랙션",3,남원읍,0.04755460223082161
441,레더한,제주특별자치도 서귀포시 남원읍 태위로 773-19,"#커플 #비.눈 #체험관광
#원데이클래스 #어트랙션",1,남원읍,0.04755460223082161
442,마흐니 숲길,제주특별자치도 서귀포시 남원읍 남조로 973,"#맑음 #커플 #친구
#부모 #휴식/힐링 #휴식/치유 #자연경관 #체험 #도보여행 #도보 #숲 #숲길 #언택트",-7,남원읍,0.04755460223082161
443,망장포,제주특별자치도 서귀포시 남원읍 하례망장포로 65-13,"#커플 #혼자 #친구
#포구 #낚시 #자연경관",0,남원읍,0.04755460223082161
444,백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,"#일출 #오름 #걷기/등산
#친구 #커플 #겨울 #자연경관 #도보여행 #도보",-2,표선면,0.05993582617735987
445,보롬왓,제주특별자치도 서귀포시 표선면 번영로 2350-104,"#경관/포토 #휴식/힐링 #친구
#커플 #맑음 #봄 #여름 #가을 #자연경관 #포토스팟 #수국",-4,표선면,0.05993582617735987
446,표선해수욕장,제주특별자치도 서귀포시 표선면 표선리,"#해수욕장 #액티비티 #커플
#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #수상레저",6,표선면,0.05993582617735987
447,따라비오름,제주특별자치도 서귀포시 표선면 가시리 산 62,"#일출 #오름 #걷기/등산
#친구 #가을 #자연경관 #도보여행 #도보 #억새",-3,표선면,0.05993582617735987
448,녹산로유채꽃길,제주특별자치도 서귀포시 표선면 가시리 산 87-15,"#드라이브 #경관/포토 #커플
#맑음 #봄 #봄꽃 #자연경관 #도보여행 #도보 #포토스팟 #유채꽃 #벚꽃 #제주명품42 #제주7대도로",-6,표선면,0.05993582617735987
449,제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,"#문화유적지 #아이 #흐림
#가을 #우수관광사업체 #역사유적 #안전여행스탬프",3,표선면,0.05993582617735987
450,성읍민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 19,"#문화유적지 #부모 #아이
#봄 #자연경관 #역사유적 #마을산책 #마을관광 #어린이 #제주명품42 #제주7대건축물 #사적지 #문화재 #문화관광",5,표선면,0.05993582617735987
451,제주허브동산,제주특별자치도 서귀포시 표선면 돈오름로 170,"#테마공원 #친구 #커플
#맑음 #우정스냅 #동백 #수국",-1,표선면,0.05993582617735987
452,붉은오름 자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,"#휴양림 #걷기/등산 #휴식/힐링
#커플 #흐림 #가을 #자연경관 #도보여행 #도보",-3,표선면,0.05993582617735987
453,표선세화해안도로,제주특별자치도 서귀포시 표선면 표선리,"#해변 #드라이브 #친구
#여름",0,표선면,0.05993582617735987
454,영주산,제주특별자치도 서귀포시 표선면 번영로,"#일출 #오름 #걷기/등산
#자연경관 #수국",0,표선면,0.05993582617735987
455,조랑말체험공원,제주특별자치도 서귀포시 표선면 녹산로 381-15,"#승마 #액티비티 #아이
#가을 #실내관광지 #체험 #레저/체험 #어린이 #어트랙션",5,표선면,0.05993582617735987
456,대장금촬영지(제주민속촌),제주특별자치도 서귀포시 표선면 민속해안로 631-34,"#커플 #친구 #부모
#경관/포토 #테마공원 #미술/박물관 #포토스팟",-2,표선면,0.05993582617735987
457,성읍녹차마을,제주특별자치도 서귀포시 표선면 중산간동로 4778,"#부모 #커플 #친구
#아이 #경관/포토 #마을산책 #마을관광 #포토스팟 #어린이 #녹차",-3,표선면,0.05993582617735987
458,큰사슴이오름,제주특별자치도 서귀포시 표선면 중산간동로,"#일출 #오름 #걷기/등산
#봄 #자연경관 #도보여행 #도보",-2,표선면,0.05993582617735987
459,낙타트래킹,제주특별자치도 서귀포시 표선면 번영로 2564-21,"#액티비티 #친구 #커플
#체험 #레저/체험 #어트랙션",4,표선면,0.05993582617735987
460,붉은오름(표선면),제주특별자치도 서귀포시 표선면 남조로 1487-73,"#부모 #커플 #혼자
#친구 #맑음 #오름 #사계절 #자연경관 #도보여행 #도보 #단풍",-4,표선면,0.05993582617735987
461,성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650,"#커플 #친구 #아이
#맑음 #액티비티 #실내관광지 #체험 #레저/체험 #어린이 #어트랙션",4,표선면,0.05993582617735987
462,제주올레 3코스,제주특별자치도 서귀포시 표선면 하천리 87-1,"#올레 #중/장년 #청년
#부모 #커플 #혼자 #친구 #맑음 #비.눈 #경관/포토 #휴식/힐링 #체험관광 #자연경관 #도보여행 #도보 #포토스팟 #어트랙션",-5,표선면,0.05993582617735987
463,청초밭영농조합법인,제주특별자치도 서귀포시 표선면 성읍이리로57번길 34,"#청초밭 #녹차밭 #삼나무길
#동백나무 #체험 #도보여행 #도보 #녹차 #어트랙션",-1,표선면,0.05993582617735987
464,다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644,"#실내 #테마공원 #아이
#비.눈 #겨울 #우수관광사업체 #실내관광지 #체험 #레저/체험 #어린이 #어트랙션 #안전여행스탬프",4,표선면,0.05993582617735987
465,모지오름,제주특별자치도 서귀포시 표선면 성읍리 산 22,"#혼자 #친구 #맑음
#경관/포토 #휴식/힐링 #액티비티 #오름 #사계절 #자연경관 #체험 #도보여행 #도보 #레저/체험 #포토스팟 #어트랙션",-3,표선면,0.05993582617735987
466,개오름,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,"#커플 #친구 #혼자
#맑음 #오름 #자연경관 #도보여행 #도보",-4,표선면,0.05993582617735987
467,당케산물(당케포구),제주특별자치도 서귀포시 표선면 표선당포로,"#포구 #해변 #문화유적지
#자연경관 #역사유적",2,표선면,0.05993582617735987
468,민속해안로,제주특별자치도 서귀포시 표선면 일주동로 6228,"#해변 #걷기/등산 #혼자
#맑음",2,표선면,0.05993582617735987
469,세계술박물관,제주특별자치도 서귀포시 표선면 한마음초등로 431,"#실내 #미술/박물관 #친구
#비.눈 #겨울 #실내관광지 #문화관광 #박물관 #어트랙션",0,표선면,0.05993582617735987
470,알오름(표선면),제주특별자치도 서귀포시 표선면 토산리 산 11,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",-3,표선면,0.05993582617735987
471,알프스승마장포니,제주특별자치도 서귀포시 표선면 서성일로 73,"#승마 #액티비티 #흐림
#가을 #체험 #레저/체험 #어트랙션",5,표선면,0.05993582617735987
472,좌보미오름,제주특별자치도 서귀포시 표선면 성읍리 산 6,"#커플 #친구 #혼자
#맑음 #오름 #자연경관 #도보여행 #도보",-4,표선면,0.05993582617735987
473,가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 남조로 1487-73,"#커플 #혼자 #친구
#맑음 #오름 #가을 #자연경관 #도보여행 #도보",-4,표선면,0.05993582617735987
474,가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",-3,표선면,0.05993582617735987
475,목장카페 드르쿰다,제주특별자치도 서귀포시 표선면 번영로 2454,"#테마공원 #자연경관 #실내관광지
#체험 #어린이 #어트랙션",2,표선면,0.05993582617735987
476,매오름,제주특별자치도 서귀포시 표선면 표선리 산 2,"#커플 #혼자 #친구
#맑음 #체험관광 #오름 #휴식/치유 #자연경관 #도보여행 #도보 #어트랙션",-3,표선면,0.05993582617735987
477,목장카페 드르쿰다,제주특별자치도 서귀포시 표선면 번영로 2454,"#테마공원 #자연경관 #실내관광지
#체험 #어린이 #어트랙션",2,표선면,0.05993582617735987
478,백록담,제주특별자치도 서귀포시 토평동 산 15-1,"#커플 #혼자 #친구
#경관/포토 #맑음 #사계절 #등산 #자연경관 #포토스팟 #한라산 #언택트",-2,토평동,0.07781745572139374
479,쇠소깍해변,제주특별자치도 서귀포시 하효동,"#해변 #경관/포토 #커플
#맑음 #여름 #자연경관 #포토스팟",-2,하효동,0.02845199421943264
480,게우지코지,제주특별자치도 서귀포시 하효동,"#커플 #혼자 #친구
#경관/포토 #올레 #자연경관 #포토스팟",-4,하효동,0.02845199421943264
481,오라동 청보리-메밀꽃밭,제주특별자치도 제주시 오라2동 산 76,"#경관/포토 #친구 #커플
#맑음 #봄 #가을 #자연경관 #포토스팟 #어트랙션",-2,오라2동,0.04429247625571225
482,어승생,제주특별자치도 제주시 해안동 1100도로 555번지 (해안동 산220-12번지),"#산 #걷기/등산 #친구
#흐림 #자연경관 #한라산 #언택트",0,해안동,0.054226535202500876
483,범섬,제주특별자치도 서귀포시 법환동,"#경관/포토 #휴식/힐링 #휴식/치유
#맑음 #자연경관 #섬속의섬 #포토스팟",-5,법환동,0.16108983037649757
484,1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,"#산 #경관/포토 #흐림
#가을 #자연경관 #포토스팟 #한라산 #언택트",-3,색달동,0.5447739014262047
485,추자도,제주특별자치도 제주시 추자면 추자도,"#경관/포토 #가을 #자연경관
#포토스팟",-3,추자면,0.03821854945036184
486,모진이몽돌해변,제주특별자치도 제주시 추자면 신양리 56,"#해변 #경관/포토 #맑음
#여름 #자연경관 #포토스팟",-2,추자면,0.03821854945036184
487,제주올레 18-1코스,제주특별자치도 제주시 추자면 묵리 산 133,"#올레 #걷기/등산 #친구
#혼자 #봄 #가을 #자연경관 #도보여행 #도보",-3,추자면,0.03821854945036184
488,추자도 숭어체험장,제주특별자치도 제주시 추자면 석두리길 4,"#커플 #친구 #체험관광
#액티비티 #청년 #휴식/치유 #경관/포토 #체험 #레저/체험 #포토스팟 #수상레저 #어트랙션",3,추자면,0.03821854945036184
489,나바론절벽,제주특별자치도 제주시 추자면 영흥리 산 19,"#산 #경관/포토 #가을
#자연경관 #포토스팟",-3,추자면,0.03821854945036184
490,돈대산돈대산,제주특별자치도 제주시 추자면 예초리 산 67-1,"#커플 #친구 #맑음
#오름 #자연경관",-2,추자면,0.03821854945036184
491,돈대산산림휴양산책로,제주특별자치도 제주시 추자면 예초리 산 67-1,"#산 #걷기/등산 #흐림
#맑음 #자연경관",0,추자면,0.03821854945036184
492,묵리마을,제주특별자치도 제주시 추자면 묵리,"#혼자 #커플 #친구
#휴식/힐링 #마을산책 #마을관광",-1,추자면,0.03821854945036184
493,논짓물,제주특별자치도 서귀포시 하예동,"#커플 #혼자 #친구
#부모 #아이 #여름 #액티비티 #맑음 #자연경관 #체험 #레저/체험 #어린이",2,하예동,0.06528475936945018
494,하예포구(예래포구),제주특별자치도 서귀포시 하예동,"#포구 #해변 #문화유적지
#여름 #자연경관 #역사유적",2,하예동,0.06528475936945018
495,서귀포해안,제주특별자치도 서귀포시 서호동,"#커플 #친구 #맑음
#휴식/힐링 #해변 #자연경관",-1,서호동,0.1873587318390616
496,바람모루,제주특별자치도 서귀포시 서호동,"#걷기/등산 #부모 #아이
#자연경관 #어린이",0,서호동,0.1873587318390616
497,제주올레 18코스,제주특별자치도 제주시 삼양1동 1131-2,"#올레 #걷기/등산 #친구
#혼자 #봄 #가을 #자연경관 #도보여행 #도보",-3,삼양1동,0.018541735295630628
498,제주올레 6코스,제주특별자치도 서귀포시 보목동 1377-4,"#부모 #커플 #혼자
#친구 #맑음 #경관/포토 #휴식/힐링 #체험관광 #올레 #사계절 #청년 #걷기/등산 #봄 #자연경관 #도보여행 #도보 #포토스팟 #어트랙션",-4,보목동,0.021829760439577243
499,제지기오름,제주특별자치도 서귀포시 보목동 275-1,"#일출 #오름 #걷기/등산
#가을 #자연경관 #도보여행 #도보",-2,보목동,0.021829760439577243
500,제주올레 17코스,제주특별자치도 제주시 도두1동 2612-1,"#올레 #걷기/등산 #친구
#혼자 #봄 #가을 #자연경관 #도보여행 #도보",-3,도두1동,0.09258491299045894
501,도두동 무지개 해안도로,제주특별자치도 제주시 도두1동,"#친구 #경관/포토 #드라이브
#우정스냅 #포토스팟",-4,도두1동,0.09258491299045894
502,영실기암,제주특별자치도 서귀포시 하원동,"#부모 #커플 #혼자
#친구 #비.눈 #맑음 #경관/포토 #휴식/힐링 #테마공원 #액티비티 #사계절 #청년 #중/장년 #자연경관 #체험 #레저/체험 #포토스팟 #한라산 #언택트 #어트랙션 #단풍",1,하원동,0.05830798189309955
503,아라리오뮤지엄탑동시네마,제주특별자치도 제주시 삼도2동 1261-8,"#실내 #미술/박물관 #비.눈
#사계절 #실내관광지 #문화관광 #어트랙션",0,삼도2동,0.03159988214726579
504,용두암해안도로카페거리,제주특별자치도 제주시 용담3동,"#일몰 #밤 #커플
#드라이브",-2,용담3동,0.03870092299589372
505,다끄네포구(용담포구),제주특별자치도 제주시 용담3동,"#커플 #혼자 #친구
#문화유적지 #해변 #포구 #자연경관 #역사유적",2,용담3동,0.03870092299589372
506,도두해안도로,제주특별자치도 제주시 도두2동 706-3,"#드라이브 #커플 #맑음
#여름",-1,도두2동,0.06450236108487654
507,산지천,제주특별자치도 제주시 건입동,"#계곡 #걷기/등산 #아이
#자연경관 #어린이 #물놀이",2,건입동,0.09336803860581808
508,서건도,제주특별자치도 서귀포시 강정동 산 1,"#경관/포토 #휴식/힐링 #자연경관
#포토스팟 #언택트",-5,강정동,0.13101314652793628
509,돔베낭골,제주특별자치도 서귀포시 호근동,"#해변 #휴식/힐링 #맑음
#여름 #자연경관",-1,호근동,0.03467235631184651
510,각시바우오름,제주특별자치도 서귀포시 호근동 2112,"#커플 #친구 #혼자
#맑음 #오름 #자연경관 #도보여행 #도보",-4,호근동,0.03467235631184651
511,서귀다원,제주특별자치도 서귀포시 상효동 산 118,"#커플 #친구 #맑음
#경관/포토 #휴식/힐링 #봄 #여름 #자연경관 #포토스팟 #녹차 #어트랙션",-4,상효동,0.06565604688862234
512,산천단,제주특별자치도 제주시 아라1동 392-3,"#휴식/힐링 #문화유적지 #사계절
#자연경관 #역사유적",0,아라1동,0.06281223411156156
513,곤흘동(곤을동) 마을터,제주특별자치도 제주시 화북1동 4438,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #마을산책 #마을관광 #어트랙션",4,화북1동,0.041812619738676476
514,화북비석거리,제주특별자치도 제주시 화북1동 4008,#문화유적지 #문화관광 #역사유적,3,화북1동,0.041812619738676476
515,삼양해안도로,제주특별자치도 제주시 삼양2동,"#해변 #드라이브 #커플
#맑음 #자연경관",-1,삼양2동,0.06438758035952614
516,신비의도로카트체험장,제주특별자치도 제주시 노형동 187-3,"#액티비티 #아이 #맑음
#봄 #체험 #레저/체험 #어린이 #어트랙션 #드라이브",3,노형동,0.1823405630197385
517,개오리오름,제주특별자치도 제주시 봉개동,"#커플 #친구 #맑음
#오름 #자연경관 #도보여행 #도보",-4,봉개동,0.07493194710411372
